,10,11,12
Mathematics,0.5126724563626545,0.5383518663466145,0.5281820266703907
Physics,0.46505081489942696,0.4746840954890207,0.39670314055986194
Overall GPA,0.45368054694012555,0.4834646259682874,0.42029995375159623
Chemistry,0.4270591624270073,0.43121448649572736,0.3418266326870048
Biology,0.34284300642640925,0.34624846940887044,0.2813359086064939
Foreign language,0.34845918959226596,0.35681243802507384,0.2952715361075211
Geography,0.31021155757530333,0.29537615911931014,0.2601692794599081
History,0.26691500323384937,0.27635427592036665,0.24454280042377463
Civic education,0.24776843308453217,0.25685706638525657,0.21734788852041093
Literature,0.24489573322068317,0.2409506352610153,0.1683808054298307
