grp,n,MAE,bias_mean_err,RMSE,mean_actual,mean_pred
Thành phố Hà Nội,4024,8.106,0.053,10.186,76.592,76.539
Thành phố Hải Phòng,437,7.803,-3.548,9.853,77.604,81.152
Tỉnh Bắc Giang,451,7.365,2.514,9.275,78.49,75.976
Tỉnh Bắc Ninh,405,8.622,-2.15,10.858,77.479,79.629
Tỉnh Hà Nam,230,7.303,-0.36,9.275,76.504,76.864
Tỉnh Hưng Yên,569,8.078,-1.209,10.294,76.083,77.292
Tỉnh Hải Dương,518,7.399,0.398,9.326,79.017,78.619
Tỉnh Nam Định,730,7.692,0.695,9.683,79.089,78.394
Tỉnh Nghệ An,481,9.415,-5.239,11.647,74.771,80.011
Tỉnh Ninh Bình,361,7.914,2.914,9.848,77.823,74.909
Tỉnh Phú Thọ,257,8.639,3.375,10.373,79.039,75.664
Tỉnh Quảng Ninh,270,8.189,-1.097,10.066,74.796,75.893
Tỉnh Thanh Hóa,603,8.936,-1.624,11.085,76.809,78.434
Tỉnh Thái Bình,641,7.685,-0.492,9.576,78.917,79.41
Tỉnh Thái Nguyên,272,8.853,-0.408,11.11,75.11,75.519
Tỉnh Vĩnh Phúc,480,9.434,5.857,11.639,79.023,73.166
