feature,importance,importance_sd
12.Toán CN,0.324733624130981,0.018841000588114866
11.Toán CN,0.30330541528774974,0.024738473308875963
11.Ngoại ngữ HK I,0.08575126628565251,0.005424075565568129
12.Toán HK I,0.07536394990031141,0.011128813779619755
gioi_tinh,0.061026249550602076,0.0036626459513911633
11.Điểm tổng kết HK I,0.05900277203519444,0.008387114041660775
12.Điểm tổng kết HK II,0.057746249478224244,0.007789776430884301
11.Vật lí CN,0.057081133606297386,0.008780521997822973
12.Hóa học HK II,0.05536111077271144,0.008755117194902181
10.Toán CN,0.05398760092902215,0.010401080191730685
kv_KV2_NT,0.052100577164624795,0.007715458396223025
10.Văn HK I,0.04831449921830107,0.004528761453513204
10.Hóa học HK I,0.04637230778672148,0.007311529375779789
12.Ngoại ngữ HK II,0.039495264286325237,0.005541432308270088
10.Ngoại ngữ CN,0.03855673009101039,0.008724688666826127
12.Điểm tổng kết HK I,0.03314968219487539,0.006601682052242634
11.Hóa học HK I,0.032891846714657544,0.004169802873037465
kv_KV1,0.030540727000163415,0.005320293789449565
10.Ngoại ngữ HK II,0.028502541569836382,0.0073736330533390945
10.Hóa học HK II,0.028080697031115775,0.008484947362889165
10.Sinh học HK I,0.02787763623568935,0.0035776363835466865
10.GDCD HK I,0.02611106341312599,0.007586803052142052
10.Vật lí HK II,0.024852918236785017,0.009784911948780482
10.Ngoại ngữ HK I,0.024223638144747282,0.009847505581260869
11.Văn HK I,0.022780577539327142,0.006543351555562677
12.Văn HK I,0.022244592762693572,0.005485751443272825
10.Lịch sử HK I,0.02212107622851569,0.0034001687662304036
11.Ngoại ngữ HK II,0.021137752615727833,0.0030471840432436744
12.Hóa học HK I,0.020171046283555684,0.009732448931329437
10.Địa lí HK I,0.020071276039615428,0.004837759033768397
11.Sinh học HK I,0.020008479819398416,0.004096475181552509
12.Ngoại ngữ HK I,0.01928773523345164,0.01082411817278634
11.Ngoại ngữ CN,0.01886633246250291,0.004889643838937172
kv_KV3,0.01855300189032043,0.005019981973717661
11.Hóa học HK II,0.01836678410798882,0.007624921260076656
10.Điểm tổng kết HK II,0.018241538174202532,0.004807252512912045
12.Văn HK II,0.01802307847068114,0.0062427680839685085
12.Lịch sử HK II,0.017562027029418913,0.005452953348838106
12.Lịch sử HK I,0.017339693830311375,0.006119136680486437
