grp,n,MAE,MAE_ci95,bias,bias_ci95
Thành phố Hà Nội,19998,8.114,0.086,-0.115,0.141
Thành phố Hải Phòng,2281,7.863,0.251,-3.35,0.385
Tỉnh Bắc Giang,2161,7.57,0.239,2.061,0.389
Tỉnh Bắc Ninh,2115,8.44,0.28,-2.356,0.445
Tỉnh Hoà Bình,326,7.713,0.646,-0.98,1.053
Tỉnh Hà Nam,1129,7.313,0.327,-0.605,0.537
Tỉnh Hà Tĩnh,699,7.934,0.461,-2.473,0.725
Tỉnh Hưng Yên,2783,8.237,0.234,-0.877,0.384
Tỉnh Hải Dương,2879,7.618,0.215,0.222,0.352
Tỉnh Lào Cai,258,8.746,0.792,4.853,1.191
Tỉnh Nam Định,3653,7.843,0.193,1.374,0.316
Tỉnh Nghệ An,2356,8.948,0.272,-4.547,0.413
Tỉnh Ninh Bình,1816,8.434,0.292,3.897,0.451
Tỉnh Phú Thọ,1206,8.485,0.346,2.711,0.571
Tỉnh Quảng Ninh,1308,7.666,0.32,-1.001,0.522
Tỉnh Sơn La,349,7.817,0.641,1.537,1.029
Tỉnh Thanh Hóa,3076,8.401,0.228,-1.192,0.372
Tỉnh Thái Bình,3186,7.731,0.208,-0.038,0.34
Tỉnh Thái Nguyên,1236,8.511,0.362,-0.39,0.597
Tỉnh Tuyên Quang,312,9.032,0.73,2.128,1.219
Tỉnh Vĩnh Phúc,2283,9.594,0.28,6.225,0.41
Tỉnh Yên Bái,404,7.488,0.545,0.061,0.912
