grp,n,MAE,MAE_ci95,bias,bias_ci95
Thành phố Hà Nội,19998,8.174,0.086,-0.2,0.142
Thành phố Hải Phòng,2281,8.072,0.255,-3.84,0.387
Tỉnh Bắc Giang,2161,7.596,0.241,1.974,0.392
Tỉnh Bắc Ninh,2115,8.438,0.28,-2.365,0.445
Tỉnh Hoà Bình,326,7.824,0.663,-2.095,1.054
Tỉnh Hà Nam,1129,7.346,0.327,-0.246,0.539
Tỉnh Hà Tĩnh,699,7.963,0.458,-2.383,0.727
Tỉnh Hưng Yên,2783,8.221,0.233,-0.641,0.383
Tỉnh Hải Dương,2879,7.754,0.216,0.524,0.356
Tỉnh Lào Cai,258,8.427,0.772,4.007,1.19
Tỉnh Nam Định,3653,7.98,0.196,1.761,0.32
Tỉnh Nghệ An,2356,8.939,0.27,-4.421,0.414
Tỉnh Ninh Bình,1816,8.47,0.298,4.136,0.452
Tỉnh Phú Thọ,1206,8.425,0.345,2.725,0.567
Tỉnh Quảng Ninh,1308,7.699,0.322,-1.145,0.523
Tỉnh Sơn La,349,7.652,0.638,0.405,1.025
Tỉnh Thanh Hóa,3076,8.398,0.229,-1.246,0.372
Tỉnh Thái Bình,3186,7.776,0.21,0.36,0.342
Tỉnh Thái Nguyên,1236,8.641,0.365,-0.634,0.603
Tỉnh Tuyên Quang,312,8.892,0.731,1.253,1.222
Tỉnh Vĩnh Phúc,2283,9.773,0.283,6.416,0.414
Tỉnh Yên Bái,404,7.413,0.543,-0.512,0.903
